Prioriteit,Naam,Categorie,Bedrijf/Business,LinkedIn URL,Podcast(s),Aantal podcasts,Aflevering (YouTube),Onderbouwing
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Wim Beelen,ONDERNEMER,Beelen Groep — recycling & sloop,https://www.linkedin.com/in/wim-beelen-489198202,"doorzetters, dutch-dragons, lotgenoten, quote-podcasts",4,https://www.youtube.com/watch?v=jkDSzwwrgCY,herkenbaar merk/bedrijf: 'Beelen Groep'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Eric Idema,ONDERNEMER,EasyToys — e-commerce,https://nl.linkedin.com/in/ericidema,"doorzetters, lotgenoten, quote-podcasts",3,https://www.youtube.com/watch?v=Ms6cTy2VPJM,"signalen: ['e-commerce', 'e-com']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Joep Verbunt,ONDERNEMER,Matt Sleeps — bedden | Matt Sleeps — matrassen,https://nl.linkedin.com/in/joep-verbunt-bb962616,"doorzetters, dutch-dragons, quote-podcasts",3,https://www.youtube.com/watch?v=8ys1SmufB88,herkenbaar merk/bedrijf: 'Matt Sleeps'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Manon van Essen,ONDERNEMER & VERMOGEND,Vitamines.com / Viteezy — Dragons' Den | Magioni / Vitamines.com,https://nl.linkedin.com/in/manon-van-essen,"doorzetters, dutch-dragons, lotgenoten",3,https://www.youtube.com/watch?v=CFiFZ6vvyQU,"handmatige review: Vitamines.com/Viteezy, Dragons' Den"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Quintin Schevernels,ONDERNEMER & VERMOGEND,"Tech-ondernemer & auteur | investeerder QSentie Ventures, ex-CEO Funda | Ex-CEO Funda, investeerder & auteur",https://nl.linkedin.com/in/quintinschevernels,"de-technoloog, doorzetters, dutch-dragons",3,https://www.youtube.com/watch?v=k4ZS_jf_CvI,"signalen: ['ceo', 'investeerder', 'ventures']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Roland Kahn,VERMOGEND,CoolCat / Cool Investments — retail,https://www.linkedin.com/in/roland-kahn-a2042314,"doorzetters, lotgenoten, quote-podcasts",3,https://www.youtube.com/watch?v=qmYPUvneYIc,signalen: ['investment']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Thijs Verheul,ONDERNEMER & VERMOGEND,"United Wardrobe (→ Vinted), 3HSF | United Wardrobe (→ Vinted)",https://nl.linkedin.com/in/thijs-verheul-b777504b,"doorzetters, dutch-dragons, lotgenoten",3,https://www.youtube.com/watch?v=ET6KRlT48HA,handmatige review: United Wardrobe exit naar Vinted
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Ad Schaap,ONDERNEMER & VERMOGEND,De Beren — horecaketen | Ondernemer & investeerder,https://nl.linkedin.com/in/ad-schaap-572218b,"dutch-dragons, quote-podcasts",2,https://www.youtube.com/watch?v=ctdaQDBbNH8,"signalen: ['ondernemer', 'investeerder']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Arthur Dontje,ONDERNEMER,Dobla — chocoladeproducent,https://nl.linkedin.com/in/arthur-dontje,"dutch-dragons, quote-podcasts",2,https://www.youtube.com/watch?v=GVzOLm8K5Dk,herkenbaar merk/bedrijf: 'Dobla'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Eva de Mol,VERMOGEND,CapitalT — venture capital,https://nl.linkedin.com/in/eva-de-mol-ph-d-5a560016,"doorzetters, dutch-dragons",2,https://www.youtube.com/watch?v=yhhensVDhoY,"signalen: ['capital', 'venture capital']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Frank van Gool,ONDERNEMER,OTTO Work Force — uitzendbureau,https://nl.linkedin.com/in/frank-van-gool-2bb56013,"doorzetters, quote-podcasts",2,https://www.youtube.com/watch?v=UzXLTBrccCo,signalen: ['bureau']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Jasper de Rooij,ONDERNEMER,Simpel — telecom,https://nl.linkedin.com/in/jasper-de-rooij-0a96564,"dutch-dragons, quote-podcasts",2,https://www.youtube.com/watch?v=xVX4AUmv0RI,herkenbaar merk/bedrijf: 'Simpel'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Jeroen van Glabbeek,VERMOGEND,CM.com — tech | CM.com — beursgenoteerde tech,https://nl.linkedin.com/in/jeroenvanglabbeek,"doorzetters, dutch-dragons",2,https://www.youtube.com/watch?v=zkWcMb18q-8,"signalen: ['beursgenoteerd', 'beursgenoteerde']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Job van der Voort,ONDERNEMER,Remote.com — HR-tech,https://nl.linkedin.com/in/jobvo,"lotgenoten, quote-podcasts",2,https://www.youtube.com/watch?v=vuzwO514fQk,herkenbaar merk/bedrijf: 'Remote.com'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),José van Dalen,ONDERNEMER,Salesdoctor — sales-training | IT-ondernemer & Salesdoctor,https://nl.linkedin.com/in/josevandalen,"doorzetters, quote-podcasts",2,https://www.youtube.com/watch?v=xSC021P7bLo,signalen: ['ondernemer']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Kalo Bagijn,ONDERNEMER & VERMOGEND,Brand New Day / BinckBank | BinckBank / Brand New Day,https://nl.linkedin.com/in/kalo-bagijn-76175920,"doorzetters, quote-podcasts",2,https://www.youtube.com/watch?v=FLQy9VLfELo,handmatige review: oprichter BinckBank + Brand New Day
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Loes Daniels,ONDERNEMER,Experiencegift — cadeauconcept | Cadeauconcept — wereldwijd,https://nl.linkedin.com/in/loes-daniels-422a291a,"dutch-dragons, quote-podcasts",2,https://www.youtube.com/watch?v=fahOwF6_kmM,herkenbaar merk/bedrijf: 'Experiencegift'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Maasbert Schouten,ONDERNEMER,Afab — financiële dienstverlening,,"dutch-dragons, quote-podcasts",2,https://www.youtube.com/watch?v=gOdpIW7BICs,herkenbaar merk/bedrijf: 'Afab'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Marco Aarnink,ONDERNEMER & VERMOGEND,Print.com (ex-Drukwerkdeal),https://nl.linkedin.com/in/marcoaarnink,"doorzetters, lotgenoten",2,https://www.youtube.com/watch?v=OtZu_C00pH8,handmatige review: Drukwerkdeal exit
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Matthijs Welle,ONDERNEMER,Mews — hotelsoftware,https://nl.linkedin.com/in/matthijswelle,"doorzetters, quote-podcasts",2,https://www.youtube.com/watch?v=bWQzzm51ax8,herkenbaar merk/bedrijf: 'Mews'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Paul Veugen,ONDERNEMER & VERMOGEND,Ondernemer & investeerder (Human),https://nl.linkedin.com/in/paul-veugen-b28458b1,"de-technoloog, quote-podcasts",2,https://www.youtube.com/watch?v=HTEbkEDFqkM,"signalen: ['ondernemer', 'investeerder']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Philip Hillege,ONDERNEMER,Skins — niche-parfumketen,https://nl.linkedin.com/in/philiphillege,"dutch-dragons, quote-podcasts",2,https://www.youtube.com/watch?v=6JjErocJ-tY,signalen: ['keten']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Richard Bross,ONDERNEMER & VERMOGEND,Tech-ondernemer & investeerder,https://www.linkedin.com/in/richard-bross-1b6a51,"doorzetters, lotgenoten",2,https://www.youtube.com/watch?v=9kUeUbzjn6c,"signalen: ['ondernemer', 'tech-ondernemer', 'investeerder']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Robert Vis,ONDERNEMER,"Bird (MessageBird) — CEO, communicatietech",https://nl.linkedin.com/in/robertvis,"dutch-dragons, quote-podcasts",2,https://www.youtube.com/watch?v=_GdALKMNMsc,signalen: ['ceo']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Roel Veltmeijer,ONDERNEMER,Veltmeijer Group / Gamestate — arcadehallen,https://www.linkedin.com/in/roel-veltmeijer-7b87281b9,"lotgenoten, quote-podcasts",2,https://www.youtube.com/watch?v=6b_Ftgb_2LI,handmatige review: Veltmeijer Group
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Ruud Hendriks,VERMOGEND,Startupbootcamp — investeerder | RTL / Endemol — investeerder,https://nl.linkedin.com/in/ruud-hendrikstv,"doorzetters, lotgenoten",2,https://www.youtube.com/watch?v=J_4B9CbxJH4,signalen: ['investeerder']
